id,description,url,district,street,house_nr,zip,town
302,Wohnhaus Bellermannstraße 73 (Gesobau) ,,Mitte,Bellermannstraße,73,13357,Berlin
303,Wohnhaus Groninger Straße 48 (Gesobau),,Mitte,Groninger Straße,48,13347,Berlin
304,Wohnhaus Bornemannstraße 14 (Gesobau),,Mitte,Bornemannstraße,14,13357,Berlin
305,Wohnhaus Am Volkspark 73 (Gesobau),,Charlottenburg-Wilmersdorf,Am Volkspark,73,10715,Berlin
306,Wohnhaus Koblenzerstraße 1 (Gesobau),,Charlottenburg-Wilmersdorf,Koblenzerstraße,1,10715,Berlin
307,Wohnhaus Tietzstraße 55 (Gesobau),,Reinickendorf,Tietzstraße,55,13509,Berlin
308,Wohnhaus Borsigwalder Weg 44 (Gesobau),,Reinickendorf,Borsigwalder Weg,44,13509,Berlin
309,Wohnhaus Klinnerweg 59 (Gesobau),,Reinickendorf,Klinnerweg,59,13509,Berlin
310,Wohnhaus Borsigwalder Weg 24 (Gesobau),,Reinickendorf,Borsigwalder Weg,24,13509,Berlin
311,Wohnhaus Conradstraße 41 (Gesobau),,Reinickendorf,Conradstraße,41,13509,Berlin
312,Wohnhaus Syrische Straße 12 (Gesobau),,Mitte,Syrische Straße,12,13349,Berlin
313,Wohnhaus Holländer Straße 112 (Gesobau),,Mitte,Holländer Straße,112,13357,Berlin
314,Wohnhaus Ackerstraße 113 (Gesobau),,Mitte,Ackerstraße,113,13355,Berlin
315,Wohnhaus Gartenstraße 57 (Gesobau),,Mitte,Gartenstraße,57,13355,Berlin
316,Wohnhaus Gartenstraße 65 (Gesobau),,Mitte,Gartenstraße,65,13355,Berlin
317,Wohnhaus Gartenstraße 60 (Gesobau),,Mitte,Gartenstraße,60,13355,Berlin
318,Wohnhaus Ackerstraße 115 (Gesobau),,Mitte,Ackerstraße,115,13355,Berlin
319,Wohnhaus Ungarnstraße 83 (Gesobau),,Mitte,Ungarnstraße,83,13349,Berlin
320,Wohnhaus Schulstraße 24 (Gesobau),,Mitte,Schulstraße,24,13353,Berlin
321,Wohnhaus Ackerstraße 105 (Gesobau),,Mitte,Ackerstraße,105,13355,Berlin
322,Wohnhaus Bundesplatz 12 (Gesobau),,Charlottenburg-Wilmersdorf,Bundesplatz,12,10715,Berlin
323,Wohnhaus Räuschstraße 40 (Gesobau),,Reinickendorf,Räuschstraße,40,13509,Berlin
324,Haus der Begegnung M3,,Marzahn,Mehrower Allee,3,12687,Berlin
325,Stadtteilzentrum Biesdorf - Ball e.V.,,Biesdorf,Alt Biesdorf,15,12683,Berlin
326,Bürgerhaus Südspitze,,Marzahn,Marchwitza Straße,24-26,12681,Berlin
327,Stadtteilzentrum Marzahn Mitte - Volkssolidarität LV Berlin e.V.,,Marzahn,Marzahner Promenade,38,12627,Berlin
328,JFE Kompass,,Alt-Hellersdorf,Kummerower Ring,42,12619,Berlin
329,"Stadtteilzentrum Marzahn Süd ""Mosaik"" - Wuhletal gGmbH",,Marzahn,Altlandsberger Platz,2,12685,Berlin
330,Stadtteilzentrum Hellerdorf Süd - Klub 74,,Alt-Hellersdorf,Am Baltenring,74,12619,Berlin
331,Stadtteilzentrum Marzahn NordWest - Kiek in gGmbH,,Marzahn,Ahrensfelder Chaussee,148,12689,Berlin
332,Bürgertreff Lichterfelde West,,Lichterfelde,Hans-Sachs-Straße,4,12205,Berlin
